country,year,NY.GDP.MKTP.KD.ZG
China,2023,5.41484330099675
China,2022,3.1341888719577
China,2021,8.57008513166322
China,2020,2.34018843078414
China,2019,6.06850235053705
China,2018,6.75671800166833
China,2017,6.8912663621211
China,2016,6.77555562837017
China,2015,6.97878002657477
China,2014,7.46190028229434
China,2013,7.77872409446717
China,2012,7.85617427055587
China,2011,9.4613358870736
China,2010,10.5962719761682
China,2009,9.40269972778044
China,2008,9.67024588602851
China,2007,14.1499854947127
China,2006,12.6746751655235
China,2005,11.458238455067
China,2004,10.1314073631003
China,2003,10.1181928640117
China,2002,9.24339326638321
China,2001,8.31263887091522
China,2000,8.58643201808462
China,1999,7.7370030581299
China,1998,7.92079207933551
China,1997,9.2876465280865
China,1996,9.97619992053447
China,1995,11.0328121562746
China,1994,13.0727091631599
China,1993,13.9290780143689
China,1992,14.2996108947926
China,1991,9.36170212784847
Germany,2023,-0.869647578573321
Germany,2022,1.8092581243061
Germany,2021,3.90999994204108
Germany,2020,-4.13191443239947
Germany,2019,0.977734697038784
Germany,2018,1.13569604599849
Germany,2017,2.797906720551
Germany,2016,2.22222216259371
Germany,2015,1.66300602334775
Germany,2014,2.18018602168017
Germany,2013,0.396995583779145
Germany,2012,0.463512036709204
Germany,2011,3.75796884489337
Germany,2010,4.13463778522758
Germany,2009,-5.54455451920674
Germany,2008,0.887902330743628
Germany,2007,2.8891174138025
Germany,2006,3.86668241523209
Germany,2005,0.885485292551564
Germany,2004,1.16208684507278
Germany,2003,-0.529801394291297
Germany,2002,-0.228255715793637
Germany,2001,1.63614170690956
Germany,2000,2.8765231247659
Germany,1999,2.12957016297766
Germany,1998,2.09561231172233
Germany,1997,1.85432238398302
Germany,1996,1.0378755674358
Germany,1995,1.50499384201356
Germany,1994,2.59685569693275
Germany,1993,-0.973033082340891
Germany,1992,2.01361340926105
Germany,1991,5.10826150190911
United Kingdom,2023,0.271650048355255
United Kingdom,2022,5.14970388522993
United Kingdom,2021,8.5431118453255
United Kingdom,2020,-10.047896637362
United Kingdom,2019,1.25629899760824
United Kingdom,2018,1.55133095078786
United Kingdom,2017,3.02322219840339
United Kingdom,2016,2.20652020635357
United Kingdom,2015,2.14040560033371
United Kingdom,2014,3.16017351468152
United Kingdom,2013,1.71846961308464
United Kingdom,2012,1.52826034721852
United Kingdom,2011,0.851437739020326
United Kingdom,2010,2.26054460931586
United Kingdom,2009,-4.58740819226323
United Kingdom,2008,-0.0494116727402769
United Kingdom,2007,2.93091133582351
United Kingdom,2006,2.18982132415704
United Kingdom,2005,2.7906547174688
United Kingdom,2004,2.32601853325993
United Kingdom,2003,3.21851612669614
United Kingdom,2002,1.70902736258567
United Kingdom,2001,2.39102229602824
United Kingdom,2000,4.52438074810904
United Kingdom,1999,2.94445869854798
United Kingdom,1998,3.24631482881618
United Kingdom,1997,4.8799853038024
United Kingdom,1996,2.61491606949487
United Kingdom,1995,3.53339096338078
United Kingdom,1994,4.95341092800692
United Kingdom,1993,3.49048744653493
United Kingdom,1992,1.29472849604493
United Kingdom,1991,-1.29243974751705
Japan,2023,1.47503481053384
Japan,2022,0.941998775483285
Japan,2021,2.69657404187188
Japan,2020,-4.16876457146743
Japan,2019,-0.402169200894946
Japan,2018,0.643391023533141
Japan,2017,1.67533175173359
Japan,2016,0.753826745789127
Japan,2015,1.56062669680782
Japan,2014,0.296205514141889
Japan,2013,2.00510017681211
Japan,2012,1.37475099905274
Japan,2011,0.0238095237995424
Japan,2010,4.09791791943181
Japan,2009,-5.69323635892741
Japan,2008,-1.22428900061713
Japan,2007,1.48396941157472
Japan,2006,1.3723501275831
Japan,2005,1.80390087215821
Japan,2004,2.18611569439318
Japan,2003,1.53512549946694
Japan,2002,0.0419624992862282
Japan,2001,0.386103426142029
Japan,2000,2.76464755136783
Japan,1999,-0.333929957687772
Japan,1998,-1.27033049466078
Japan,1997,0.981228732290873
Japan,1996,3.13387099272759
Japan,1995,2.6309996164206
Japan,1994,1.0833831743207
Japan,1993,-0.459219716250544
Japan,1992,0.900586066438109
Japan,1991,3.52335723553459
United States,2023,2.88755600749487
United States,2022,2.51237531986017
United States,2021,6.05505293244555
United States,2020,-2.16302914036166
United States,2019,2.58382533412825
United States,2018,2.96650506901305
United States,2017,2.45762229852507
United States,2016,1.81945147788167
United States,2015,2.94555045484053
United States,2014,2.52381981363968
United States,2013,2.11783009790057
United States,2012,2.28911338669843
United States,2011,1.56440685763506
United States,2010,2.69519257744442
United States,2009,-2.57650022958367
United States,2008,0.113587249881704
United States,2007,2.00385829784946
United States,2006,2.78453963650701
United States,2005,3.48354993555606
United States,2004,3.84777169556921
United States,2003,2.79560596320081
United States,2002,1.70044732643726
United States,2001,0.955538348341605
United States,2000,4.07758575682804
United States,1999,4.78842504725272
United States,1998,4.48313335374613
United States,1997,4.44712793566428
United States,1996,3.77277269119453
United States,1995,2.6844307317787
United States,1994,4.02902272983438
United States,1993,2.75179586709815
United States,1992,3.52249717301392
United States,1991,-0.108312882368935
