country,year,SL.UEM.TOTL.ZS
China,2023,4.67
China,2022,4.98
China,2021,4.55
China,2020,5.0
China,2019,4.56
China,2018,4.31
China,2017,4.47
China,2016,4.56
China,2015,4.65
China,2014,4.63
China,2013,4.6
China,2012,4.58
China,2011,4.55
China,2010,4.53
China,2009,4.72
China,2008,4.59
China,2007,4.35
China,2006,4.43
China,2005,4.52
China,2004,4.49
China,2003,4.58
China,2002,4.24
China,2001,3.8
China,2000,3.26
China,1999,3.25
China,1998,3.24
China,1997,3.23
China,1996,3.12
China,1995,3.0
China,1994,2.9
China,1993,2.69
China,1992,2.37
China,1991,2.37
Germany,2023,3.071
Germany,2022,3.137
Germany,2021,3.594
Germany,2020,3.881
Germany,2019,3.163
Germany,2018,3.384
Germany,2017,3.781
Germany,2016,4.104
Germany,2015,4.612
Germany,2014,4.979
Germany,2013,5.316
Germany,2012,5.372
Germany,2011,5.967
Germany,2010,7.043
Germany,2009,7.88
Germany,2008,7.508
Germany,2007,8.732
Germany,2006,10.277
Germany,2005,11.193
Germany,2004,10.727
Germany,2003,9.779
Germany,2002,8.482
Germany,2001,7.773
Germany,2000,7.917
Germany,1999,8.854
Germany,1998,9.787
Germany,1997,9.861
Germany,1996,8.822
Germany,1995,8.158
Germany,1994,8.727
Germany,1993,7.675
Germany,1992,6.323
Germany,1991,5.316
United Kingdom,2023,4.025
United Kingdom,2022,3.768
United Kingdom,2021,4.864
United Kingdom,2020,4.472
United Kingdom,2019,3.657
United Kingdom,2018,4.145
United Kingdom,2017,4.501
United Kingdom,2016,4.909
United Kingdom,2015,5.552
United Kingdom,2014,6.398
United Kingdom,2013,7.752
United Kingdom,2012,8.279
United Kingdom,2011,8.195
United Kingdom,2010,7.973
United Kingdom,2009,7.683
United Kingdom,2008,5.748
United Kingdom,2007,5.399
United Kingdom,2006,5.472
United Kingdom,2005,4.884
United Kingdom,2004,4.594
United Kingdom,2003,4.807
United Kingdom,2002,5.037
United Kingdom,2001,4.696
United Kingdom,2000,5.558
United Kingdom,1999,6.042
United Kingdom,1998,6.198
United Kingdom,1997,7.072
United Kingdom,1996,8.189
United Kingdom,1995,8.694
United Kingdom,1994,9.648
United Kingdom,1993,10.346
United Kingdom,1992,9.772
United Kingdom,1991,8.55
Japan,2023,2.6
Japan,2022,2.614
Japan,2021,2.808
Japan,2020,2.809
Japan,2019,2.351
Japan,2018,2.467
Japan,2017,2.822
Japan,2016,3.132
Japan,2015,3.385
Japan,2014,3.589
Japan,2013,4.038
Japan,2012,4.358
Japan,2011,4.55
Japan,2010,5.102
Japan,2009,5.068
Japan,2008,4.002
Japan,2007,3.888
Japan,2006,4.192
Japan,2005,4.446
Japan,2004,4.734
Japan,2003,5.251
Japan,2002,5.386
Japan,2001,5.02
Japan,2000,4.748
Japan,1999,4.677
Japan,1998,4.078
Japan,1997,3.374
Japan,1996,3.383
Japan,1995,3.15
Japan,1994,2.89
Japan,1993,2.539
Japan,1992,2.158
Japan,1991,2.059
United States,2023,3.638
United States,2022,3.65
United States,2021,5.349
United States,2020,8.055
United States,2019,3.669
United States,2018,3.896
United States,2017,4.355
United States,2016,4.869
United States,2015,5.28
United States,2014,6.168
United States,2013,7.375
United States,2012,8.069
United States,2011,8.949
United States,2010,9.633
United States,2009,9.254
United States,2008,5.784
United States,2007,4.622
United States,2006,4.623
United States,2005,5.084
United States,2004,5.529
United States,2003,5.989
United States,2002,5.783
United States,2001,4.731
United States,2000,3.992
United States,1999,4.219
United States,1998,4.511
United States,1997,5.0
United States,1996,5.451
United States,1995,5.65
United States,1994,6.119
United States,1993,6.9
United States,1992,7.5
United States,1991,6.8
